postid,userid,media,description,adoptable
8,2,,We need to find this little guy a new home.,True
4,2,,Bentley is a 2 year old Poodle.,True
2,1,,Kimchi is an English Bulldog.,True
5,1,,"Sasuke is Itachi's brother, also 3 months old.",True
10,3,,Killu the Great Pyranese needs a new owner.,True
6,3,,Jupiter is looking for a new home.,True
3,1,,Itachi is a 3 months old cat.,True
1,1,,Brownie is a German Shephard.,True
9,4,,Chewy the Chihuaha is ready for a new family.,True
7,1,,Java is a newly saved Pug.,False
